company,quarter,estimatedAmazonRevenueUsd,estimatedAmazonSalesUnits,backcastEstimatedRevenueUsd,fittedEstimatedRevenueUsd,observedJungleScoutRevenueUsd,monthsPresent,confidence
coway,2016-Q2,522.7823529759746,0.9588817919588676,522.7823529759746,,,1,not_enough_data
coway,2016-Q3,1600.6108038593422,2.86060284671147,1600.6108038593422,,,3,not_enough_data
coway,2016-Q4,2612.9129146608707,9.761921725939914,2612.9129146608707,,,3,low
coway,2017-Q1,3183.488816477364,13.322553340430774,3183.488816477364,,,3,low
coway,2017-Q2,8029.840122388616,29.159699536889686,8029.840122388616,,,3,low
coway,2017-Q3,13666.6661068917,38.199512186768494,13666.6661068917,,,3,low
coway,2017-Q4,17068.209909032015,43.63152565321264,17068.209909032015,,,3,low
coway,2018-Q1,12208.302605530818,41.293705813770444,12208.302605530818,,,3,low
coway,2018-Q2,12184.64016707912,47.883377732645606,12184.64016707912,,,3,low
coway,2018-Q3,12938.484380212325,49.9935170712901,12938.484380212325,,,3,low
coway,2018-Q4,11714.648836157383,48.78233364949407,11714.648836157383,,,3,low
coway,2019-Q1,12107.315984372954,49.72198959222445,12107.315984372954,,,3,low
coway,2019-Q2,11756.268009677891,46.790509135202996,11756.268009677891,,,3,low
coway,2019-Q3,10980.501268534119,46.17648839698926,10980.501268534119,,,3,low
coway,2019-Q4,8705.593648255654,39.67097564086164,8705.593648255654,,,3,low
coway,2020-Q1,10491.815868198231,53.86740180720042,10491.815868198231,,,3,low
coway,2020-Q2,9854.359941075903,44.2153625244514,9854.359941075903,,,3,low
coway,2020-Q3,13876.563451982141,60.10587549384587,13876.563451982141,,,3,low
coway,2020-Q4,11404.833389870633,57.333809545793514,11404.833389870633,,,3,low
coway,2021-Q1,15635.64634557219,72.60161187656755,15635.64634557219,,,3,low
coway,2021-Q2,13884.018640287204,77.402398972575,13884.018640287204,,,3,low
coway,2021-Q3,17621.072445419737,87.02705311401846,17621.072445419737,,,3,low
coway,2021-Q4,16400.48958983334,81.83119866547227,16400.48958983334,,,3,low
coway,2022-Q1,16590.542883126076,89.89805425583062,16590.542883126076,,,3,low
coway,2022-Q2,17654.99576078212,96.1365536085797,17654.99576078212,,,3,low
coway,2022-Q3,19002.920792028704,105.66478539738966,19002.920792028704,,,3,low
coway,2022-Q4,17480.03962775116,113.53116181485777,17480.03962775116,,,3,low
coway,2023-Q1,18403.210981685286,115.47717661411478,18403.210981685286,,,3,low
coway,2023-Q2,19980.002183256795,120.86077533075537,19980.002183256795,,,3,low
coway,2023-Q3,20943.91427921985,130.2977715834588,20943.91427921985,,,3,low
coway,2023-Q4,19288.415614718087,128.31297219526405,19288.415614718087,,,3,low
coway,2024-Q1,20103.26946865981,136.81947724009714,20103.26946865981,,,3,low
coway,2024-Q2,21580.47873225674,162.709877925726,5937.365820959913,15643.112911296817,124670.36051259724,3,low
coway,2024-Q3,35669.251503869375,287.09203774689166,,35669.251503869375,251853.39301382488,3,low
coway,2024-Q4,35618.45496599453,275.371300867666,,35618.45496599453,408437.2612688171,3,low
coway,2025-Q1,37087.068333406736,269.88752791027326,,37087.068333406736,260887.0298071529,3,low
coway,2025-Q2,38413.440063746166,276.9738672138591,,38413.440063746166,328095.02067741944,3,low
coway,2025-Q3,35128.041403883624,271.54662020996165,,35128.041403883624,470269.930754542,3,low
coway,2025-Q4,47134.9167018633,316.5877636737757,,47134.9167018633,594417.1870626621,3,low
coway,2026-Q1,50114.420619866185,325.80592979099976,,50114.420619866185,410616.82447004603,3,low
coway,2026-Q2,40965.998661729434,258.6323786493963,,33918.54371667022,274502.7452000001,3,low
samyang,2017-Q2,3.651091973070682,0.004581043880891696,3.651091973070682,,,2,not_enough_data
samyang,2017-Q3,0,0,0,,,1,not_enough_data
samyang,2017-Q4,1.0433089076641637,0.0017417510979368344,1.0433089076641637,,,2,not_enough_data
samyang,2018-Q1,0,0,0,,,3,low
samyang,2018-Q2,4.549706021734495,0.008086335193130179,4.549706021734495,,,3,low
samyang,2018-Q3,6.99319757050382,0.00874364430886334,6.99319757050382,,,3,low
samyang,2018-Q4,4.431093972923383,0.006605727124336121,4.431093972923383,,,3,low
samyang,2019-Q1,5.904031917913548,0.007247068726773666,5.904031917913548,,,3,low
samyang,2019-Q2,12.198674786407992,0.01572613933087268,12.198674786407992,,,3,low
samyang,2019-Q3,9.61708549842992,0.013532512258477531,9.61708549842992,,,3,low
samyang,2019-Q4,6.840924295101412,0.00965888584832918,6.840924295101412,,,3,low
samyang,2020-Q1,8.372758042613551,0.011193653578773142,8.372758042613551,,,3,low
samyang,2020-Q2,10.225818966336778,0.013343008954122973,10.225818966336778,,,3,low
samyang,2020-Q3,29.283414614073447,0.040824313842476666,29.283414614073447,,,3,low
samyang,2020-Q4,19.997592564809374,0.029284966917093855,19.997592564809374,,,3,low
samyang,2021-Q1,11.615201716579481,0.017226222205981707,11.615201716579481,,,3,low
samyang,2021-Q2,13.142652845104621,0.017352105065384753,13.142652845104621,,,3,low
samyang,2021-Q3,13.256089345950471,0.017408312558272885,13.256089345950471,,,3,low
samyang,2021-Q4,13.62232520688333,0.01865887276683967,13.62232520688333,,,3,low
samyang,2022-Q1,20.50112072845678,0.026567139899063407,20.50112072845678,,,3,low
samyang,2022-Q2,29.476908100074677,0.040221781463280586,29.476908100074677,,,3,low
samyang,2022-Q3,20.91366936212671,0.02843076476562778,20.91366936212671,,,3,low
samyang,2022-Q4,20.247122006806155,0.025335570062117327,20.247122006806155,,,3,low
samyang,2023-Q1,15.48791567320643,0.018597831222237123,15.48791567320643,,,3,low
samyang,2023-Q2,13.886711888454856,0.019531432687280723,13.886711888454856,,,3,low
samyang,2023-Q3,29.91537720152008,0.03940148278682975,29.91537720152008,,,3,low
samyang,2023-Q4,29.908901547378054,0.04078605951133196,29.908901547378054,,,3,low
samyang,2024-Q1,30.95548248193315,0.039278438243356355,30.95548248193315,,,3,low
samyang,2024-Q2,4351.408690594733,335.6754257330857,4.586821275407228,26.385869319325607,117621.04675879914,3,low
samyang,2024-Q3,7895.776439116438,642.824243143749,,53.45707352504132,129687.40135483876,3,low
samyang,2024-Q4,7857.69150003214,734.6756460128429,,66.36113444074196,141917.95178494623,3,low
samyang,2025-Q1,6621.676551474768,577.5332356826342,,55.7557335024162,121076.88206875786,3,low
samyang,2025-Q2,3093.72522226066,333.7682902669029,,50.92949107786419,108508.111234255,3,low
samyang,2025-Q3,87.55738499891416,19.075891826166437,,78.46438499891414,95757.73089477734,3,low
samyang,2025-Q4,184.3986725735801,6.246566976359948,,99.51305967035421,68791.69579569892,3,low
samyang,2026-Q1,140.75982349869713,2.940898259553633,,100.90156313003354,74867.52291474651,3,low
samyang,2026-Q2,67.34788832299247,0.09855668160469909,,61.14606197413206,46848.17918703706,3,low
tnl,2017-Q3,0,0,0,,,1,not_enough_data
tnl,2018-Q1,0,0,0,,,2,not_enough_data
tnl,2018-Q2,0,0,0,,,1,not_enough_data
tnl,2018-Q3,0,0,0,,,2,not_enough_data
tnl,2018-Q4,0,0,0,,,3,low
tnl,2019-Q1,0,0,0,,,3,not_enough_data
tnl,2019-Q2,0,0,0,,,2,not_enough_data
tnl,2019-Q3,0,0,0,,,2,not_enough_data
tnl,2019-Q4,0,0,0,,,1,not_enough_data
tnl,2020-Q1,0,0,0,,,2,low
tnl,2020-Q2,0,0,0,,,2,low
tnl,2020-Q3,0,0,0,,,3,low
tnl,2020-Q4,0,0,0,,,2,low
tnl,2021-Q1,0,0,0,,,2,not_enough_data
tnl,2021-Q2,0,0,0,,,3,low
tnl,2021-Q3,0,0,0,,,2,not_enough_data
tnl,2021-Q4,0,0,0,,,2,not_enough_data
tnl,2022-Q1,0,0,0,,,3,low
tnl,2022-Q2,0,0,0,,,2,not_enough_data
